onset	duration	sample	type	value
8.258	n/a	8259	STI101	4
11.842	n/a	11843	STI101	99
15.541	n/a	15542	STI101	2
16.987	n/a	16988	STI101	99
20.691	n/a	20692	STI101	2
21.606	n/a	21607	STI101	99
25.324	n/a	25325	STI101	4
28.052	n/a	28053	STI101	99
31.774	n/a	31775	STI101	4
34.92	n/a	34921	STI101	99
38.624	n/a	38625	STI101	2
40.833	n/a	40834	STI101	100
44.524	n/a	44525	STI101	2
46.148	n/a	46149	STI101	100
49.841	n/a	49842	STI101	2
51.312	n/a	51313	STI101	99
55.008	n/a	55009	STI101	2
59.019	n/a	59020	STI101	99
62.724	n/a	62725	STI101	4
66.96	n/a	66961	STI101	100
70.658	n/a	70659	STI101	2
74.597	n/a	74598	STI101	99
78.308	n/a	78309	STI101	6
82.881	n/a	82882	STI101	99
86.574	n/a	86575	STI101	2
91.266	n/a	91267	STI101	99
94.958	n/a	94959	STI101	4
101.531	n/a	101532	STI101	100
105.224	n/a	105225	STI101	2
108.547	n/a	108548	STI101	100
112.241	n/a	112242	STI101	4
115.683	n/a	115684	STI101	100
119.374	n/a	119375	STI101	6
125.534	n/a	125535	STI101	99
129.241	n/a	129242	STI101	6
132.179	n/a	132180	STI101	99
135.891	n/a	135892	STI101	4
140.559	n/a	140560	STI101	100
144.257	n/a	144258	STI101	4
149.068	n/a	149069	STI101	99
152.791	n/a	152792	STI101	6
154.513	n/a	154514	STI101	99
158.207	n/a	158208	STI101	6
161.719	n/a	161720	STI101	100
165.424	n/a	165425	STI101	4
169.651	n/a	169652	STI101	99
173.341	n/a	173342	STI101	4
181.642	n/a	181643	STI101	100
185.341	n/a	185342	STI101	6
189.47	n/a	189471	STI101	99
193.174	n/a	193175	STI101	6
196.703	n/a	196704	STI101	99
200.424	n/a	200425	STI101	4
203.5	n/a	203501	STI101	99
207.19	n/a	207191	STI101	6
207.809	n/a	207810	STI101	100
211.507	n/a	211508	STI101	6
212.275	n/a	212276	STI101	100
215.974	n/a	215975	STI101	6
216.858	n/a	216859	STI101	100
220.557	n/a	220558	STI101	4
221.341	n/a	221342	STI101	100
225.057	n/a	225058	STI101	2
225.826	n/a	225827	STI101	99
238.924	n/a	238925	STI101	4
241.768	n/a	241769	STI101	100
245.474	n/a	245475	STI101	6
247.93	n/a	247931	STI101	99
251.624	n/a	251625	STI101	2
254.238	n/a	254239	STI101	99
257.94	n/a	257941	STI101	6
259.495	n/a	259496	STI101	100
263.19	n/a	263191	STI101	6
264.531	n/a	264532	STI101	100
268.224	n/a	268225	STI101	2
270.457	n/a	270458	STI101	99
274.157	n/a	274158	STI101	4
276.861	n/a	276862	STI101	100
280.557	n/a	280558	STI101	2
282.456	n/a	282457	STI101	99
286.157	n/a	286158	STI101	4
288.295	n/a	288296	STI101	100
291.99	n/a	291991	STI101	6
293.514	n/a	293515	STI101	100
297.207	n/a	297208	STI101	2
298.522	n/a	298523	STI101	100
302.223	n/a	302224	STI101	4
303.972	n/a	303973	STI101	100
307.673	n/a	307674	STI101	4
309.787	n/a	309788	STI101	100
313.49	n/a	313491	STI101	6
315.206	n/a	315207	STI101	99
318.923	n/a	318924	STI101	2
321.807	n/a	321808	STI101	100
325.523	n/a	325524	STI101	6
327.115	n/a	327116	STI101	99
330.823	n/a	330824	STI101	4
332.089	n/a	332090	STI101	100
335.79	n/a	335791	STI101	6
337	n/a	337001	STI101	99
340.69	n/a	340691	STI101	6
341.943	n/a	341944	STI101	96
341.944	n/a	341945	STI101	99
345.64	n/a	345641	STI101	6
349.157	n/a	349158	STI101	100
352.857	n/a	352858	STI101	6
353.809	n/a	353810	STI101	100
357.507	n/a	357508	STI101	2
359.409	n/a	359410	STI101	99
363.107	n/a	363108	STI101	2
364.869	n/a	364870	STI101	100
368.573	n/a	368574	STI101	2
369.876	n/a	369877	STI101	100
373.573	n/a	373574	STI101	2
375.548	n/a	375549	STI101	99
379.257	n/a	379258	STI101	2
382.412	n/a	382413	STI101	99
386.107	n/a	386108	STI101	2
387.79	n/a	387791	STI101	100
391.507	n/a	391508	STI101	6
392.556	n/a	392557	STI101	100
396.256	n/a	396257	STI101	4
397.701	n/a	397702	STI101	100
401.407	n/a	401408	STI101	6
402.495	n/a	402496	STI101	99
406.19	n/a	406191	STI101	4
408.025	n/a	408026	STI101	100
411.723	n/a	411724	STI101	6
412.996	n/a	412997	STI101	100
431.156	n/a	431157	STI101	2
432.656	n/a	432657	STI101	99
436.356	n/a	436357	STI101	4
439.159	n/a	439160	STI101	100
442.856	n/a	442857	STI101	4
444.334	n/a	444335	STI101	100
448.04	n/a	448041	STI101	6
450.834	n/a	450835	STI101	99
454.54	n/a	454541	STI101	2
456.544	n/a	456545	STI101	99
460.24	n/a	460241	STI101	6
461.956	n/a	461957	STI101	100
465.673	n/a	465674	STI101	2
467.2	n/a	467201	STI101	99
470.89	n/a	470891	STI101	6
473.487	n/a	473488	STI101	100
477.19	n/a	477191	STI101	6
480.167	n/a	480168	STI101	100
483.873	n/a	483874	STI101	2
486.154	n/a	486155	STI101	99
489.873	n/a	489874	STI101	4
491.244	n/a	491245	STI101	100
494.939	n/a	494940	STI101	4
